"site_id","year","FFD"
"X011b",1973,25.96685083
"X011b",1974,24.30939227
"X011b",1975,26.51933702
"X011b",1976,30.76923077
"X011b",1977,18.2320442
"X011b",1978,32.59668508
"X011b",1979,28.17679558
"X011b",1980,23.07692308
"X011b",1981,12.15469613
"X011b",1982,24.30939227
"X011b",1983,13.8121547
"X011b",1984,19.78021978
"X011b",1985,25.41436464
"X011b",1986,25.96685083
"X011b",1987,8.839779006
"X011b",1988,8.241758242
"X011b",1989,22.6519337
"X011b",1990,17.67955801
"X011b",1991,24.86187845
"X011b",1992,4.945054945
"X011b",1993,27.0718232
"X011b",1994,14.91712707
"X011b",1995,28.17679558
"X011b",1996,35.16483516
"X011b",1997,41.98895028
"X011b",1998,24.30939227
"X011b",1999,25.41436464
"X011b",2000,24.72527473
"X011b",2001,35.91160221
"X011b",2002,33.14917127
"X011b",2003,17.67955801
"X011b",2004,24.17582418
"X011b",2005,25.41436464
"X011b",2006,24.30939227
"X011b",2007,30.38674033
"X011b",2008,36.81318681
"X011b",2009,39.22651934
"X011b",2010,19.33701657
"X011b",2011,32.0441989
"X011b",2012,26.92307692
"X011b",2013,12.15469613
"X011b",2014,20.99447514
"X011b",2015,13.8121547
"X011b",2016,16.48351648
"X011b",2017,35.35911602
"X011b",2018,27.0718232
"X011d",1951,32.59668508
"X011d",1952,33.51648352
"X011d",1953,11.60220994
"X011d",1954,24.30939227
"X011d",1955,25.41436464
"X011d",1956,36.81318681
"X011d",1957,38.67403315
"X011d",1958,7.73480663
"X011d",1959,23.20441989
"X011d",1960,31.31868132
"X011d",1961,12.70718232
"X011d",1962,28.17679558
"X011d",1963,14.91712707
"X011d",1964,13.73626374
"X011d",1965,32.59668508
"X011d",1966,22.6519337
"X011d",1967,18.2320442
"X011d",1968,23.07692308
"X011d",1969,40.33149171
"X011d",1970,14.91712707
"X011d",1971,33.14917127
"X011d",1972,40.10989011
"X011d",1973,25.96685083
"X011d",1974,24.30939227
"X011d",1975,26.51933702
"X011d",1976,30.76923077
"X011d",1977,18.2320442
"X011d",1978,32.59668508
"X011d",1979,28.17679558
"X011d",1980,23.07692308
"X011d",1981,12.15469613
"X011d",1982,24.30939227
"X011d",1983,13.8121547
"X011d",1984,19.78021978
"X011d",1985,25.41436464
"X011d",1986,25.96685083
"X011d",1987,8.839779006
"X011d",1988,8.241758242
"X011d",1989,22.6519337
"X011d",1990,17.67955801
"X011d",1991,24.86187845
"X011d",1992,4.945054945
"X011d",1993,27.0718232
